Comment if error,Asin,UPC,ASIN Name,Brand Name,BU,loaddate
Fresh,B000UENHBU,2840007098,"Tostitos Dips, Medium Con Queso Dip, 15 oz",Dips,FLNA,NULL
Fresh,B000UENHH4,2840006408,"Tostitos Tortilla Chips, Scoops, 10 oz",Tostitos,FLNA,NULL
Fresh,B000UEP4NO,2840000211,"Santitas Tortilla Chips, Yellow Corn, 11 oz",Santitas,FLNA,NULL
Fresh,B000UEP57O,2840018382,"Oven Baked Lay's Potato Crisps, Original, 6.25 oz",Lay's Baked,FLNA,NULL
Fresh,B000UER87O,2840018390,"Oven Baked Cheetos Cheese Snacks, Crunchy, 7.65 oz",Cheetos,FLNA,NULL
Fresh,B000UESJ8Q,2840015960,"Ruffles Potato Chips, Cheddar and Sour Cream, 8.5 oz",Ruffles,FLNA,NULL
Fresh,B000UESJKO,2840000289,"20 Count Frito Lay Flavor Mix, 20 oz",FL VP/MP,FLNA,NULL
Fresh,B000UEUA4C,2840008404,"Munchies Snack Mix, Cheese Fix, 8 oz",Munchies,FLNA,NULL
Fresh,B000UEUAD8,2840005598,"Tostitos, Chunky Salsa, Medium, 15.5 oz",Dips,FLNA,NULL
Fresh,B000UEUAGU,2840000288,"20 Count Frito Lay Classic Mix, 20 oz",FL VP/MP,FLNA,NULL
Fresh,B000UEUAO2,2840018476,"Oven Baked Tostitos Tortilla Chips, Scoops, 6.25 oz",Tostitos,FLNA,NULL
Fresh,B0015GMY98,2840001775,"12 Count Doritos Nacho Cheese Pack, 12 oz",Doritos,FLNA,NULL
Fresh,B0015GQ1GA,2840000088,"Fritos Dips, Hot Bean Dip , 9 oz",Fritos,FLNA,NULL
Fresh,B0015GQ2EQ,2840007095,"Lay's Dips, Smooth Ranch,15 oz",Dips,FLNA,NULL
Fresh,B0015GQBHE,2840003400,"Ruffles Original Potato Chips, Family Size, 13.5 oz",Ruffles,FLNA,NULL
Fresh,B0015GQCH8,2840008314,"Tostitos Tortilla Chips, Party Size SCOOPS!, 14.5 oz",Tostitos,FLNA,NULL
Fresh,B0015GRZZG,2840018383,"Oven Baked Lay's Potato Crisps, BBQ, 6.25 oz",Lay's,FLNA,NULL
Fresh,B0015GS0AU,2840004024,"12 Count Cheetos Crunchy Pack, 12 oz",Cheetos,FLNA,NULL
Fresh,B0015GS10O,2840000024,"Fritos Dips, Jalepeno Cheddar Dip, 9 oz",Dips,FLNA,NULL
Fresh,B0015GSBMM,2840005597,"Tostitos Dips, Chunky Salsa Mild, 15.5 oz",Dips,FLNA,NULL
Fresh,B0015GSBUY,2840008313,"Tostitos Tortilla Chips, Party Size Restaurant Style, 18 oz",Tostitos,FLNA,NULL
Fresh,B0015GTJCI,2840007165,"Cheetos Cheese Snacks, Simply White Cheddar Puffs, 8 oz",Cheetos,FLNA,NULL
Fresh,B0015GTJEQ,2840007372,"Simply Lay's Thick Cut Potato Chips, Sea Salt, 8.5 oz",Lay's,FLNA,NULL
Fresh,B0015GTRIE,2840005160,"Tostitos Tortilla Chips, Multigrain, 9 oz",Tostitos,FLNA,NULL
Fresh,B0015GVJCG,2840000078,"Fritos Dips, Bean Dip, 9 oz",Dips,FLNA,NULL
Fresh,B0015GVKF2,2840007094,"Lay's Dips, French Onion Dairy, 15 oz",Dips,FLNA,NULL
Fresh,B0015GVNP4,2840007132,"Simply Ruffles Potato Chips,  Sea Salt, 8 oz",Ruffles,FLNA,NULL
Fresh,B002RZ1SOS,2840006405,"Tostitos Tortilla Chips, Bite sized Rounds, 13 oz",Tostitos,FLNA,NULL
Fresh,B002RZ1SRU,2840006404,"Tostitos Tortilla Chips, Hint Of Lime, 13 oz",Tostitos,FLNA,NULL
Fresh,B002RZ1SU2,2840006399,"Tostitos Tortilla Chips, Restaurant Style, 13 oz",Tostitos,FLNA,NULL
Fresh,B008ZX8STY,2840024018,"Funyuns Snack, Original, 6 Ounce",Funyuns,FLNA,NULL
Fresh,B00CNZTI6C,2840000985,"Doritos Dinamita, Chili Limon, 9.25 oz",Doritos,FLNA,NULL
Fresh,B00CNZTVDW,2840015963,"Ruffles Sour Cream and Onion, 8.5 oz",Ruffles,FLNA,NULL
Fresh,B00FFJ3VIE,2840018477,"Baked Lay's Oven Baked Ruffles Cheddar Sour Cream, 6.25 oz",Ruffles,FLNA,NULL
Fresh,B00GLL9YWC,2840014741,"Sunchips Multigrain Snacks, Original, 7 oz",Sunchips,FLNA,NULL
Fresh,B00GLL9Z76,2840014740,"Sunchips Multigrain Snacks, Garden Salsa, 7 oz",Sunchips,FLNA,NULL
Fresh,B00GLL9Z7Q,2840014739,"Sunchips Multigrain Snacks, Harvest Cheddar, 7 oz",Sunchips,FLNA,NULL
Fresh,B00GLLA2JQ,2840015224,"Sunchips Multigrain Snacks, French Onion, 7 oz",Sunchips,FLNA,NULL
Fresh,B00HVLE7EG,2840023302,"Lays Kettle Reduced Fat Jalapeno Cheddar, 8.5 oz",Kettles,FLNA,NULL
Fresh,B00JLCJ89M,2840024274,"Lays Kettle Cooked Lattice Cut Chips, Aged Cheddar and Black Pepper, 7 oz",Kettles,FLNA,NULL
Fresh,B00NGJDVWG,2840009039,"Lay's Stax Chips, Chile Limon, 5.5 oz",Lay's Stax,FLNA,NULL
Fresh,B00NGJDX42,2840009251,"Lay's Stax Chips, Buffalo Wings and Ranch, 5.5 oz",Lay's Stax,FLNA,NULL
Fresh,B00NGJE0DU,2840005515,"Lay's Stax Chips, Sour Cream and Onion, 5.05 oz",Lay's Stax,FLNA,NULL
Fresh,B00NGJE0S0,2840021193,"Lay's Stax Chips, Mesquite Barbecue, 2 oz",Lay's Stax,FLNA,NULL
Fresh,B00TQFINTK,2840037218,"Lay's Kettle Cooked Potato Chips, Mesquite Bbq, 8 Oz",Kettles,FLNA,NULL
Fresh,B00TQFIKES,2840037219,"Lay's Kettle Cooked Potato Chips, Original, 8 Oz",Kettles,FLNA,NULL
Fresh,B000UEUAQK,2840018386,"Oven Baked Lay's Potato Crisps, Sour Cream & Onion, 6.25 oz",Lay's,FLNA,NULL
Fresh,B01CD80J4S,2840016190,"Lay's Potato Chips, Classic, 1.125 oz",Lay's,FLNA,NULL
Fresh,B018QU1H20,2840042054,"Lays Potato Chips, Classic, 2.75 oz",Lay's,FLNA,NULL
Fresh,B00MZBAI22,2840020128,"Lay's Potato Chips, Dill Pickle, 7.75 oz",Lay's,FLNA,NULL
Fresh,B017ALCY1O,2840042063,"Lay's Potato Chips, Limon, 2.75 oz",Lay's,FLNA,NULL
Fresh,B00FFJ6HWG,2840015474,"Munchies Snack Mix, Party Size Cheese Fix, 15.5 oz",Munchies,FLNA,NULL
Fresh,B00FFJ3WII,2840018479,"Baked Lay's Oven Baked Ruffles, Original, 6.25 oz",Ruffles,FLNA,NULL
Fresh,B018QU0UZK,2840043143,"Ruffles Ridged Potato Chips, Cheddar Sour Cream, 2.625 oz",Ruffles,FLNA,NULL
Fresh,B00CNZTWTU,2840014708,"Tostitos Cantina Tortilla Chips, Party Size Traditional, 20 oz",Tostitos,FLNA,NULL
Fresh,B00CNZTB0K,2840011688,"Frito Lay Cantina Thin and Crispy, 9 oz",Tostitos,FLNA,NULL
Fresh,B01JOHS3DA,2840003282,"Tostitos Dip, Medium Salsa, 24 oz",Dips,FLNA,NULL
Fresh,B003H42Z7M,2840003281,"Tostitos Dip, Mild Salsa, 24 oz",Dips,FLNA,NULL
Fresh,B00BQG6Y2A,2840014394,"Tostitos Dips, Chipotle Salsa, 15.5 oz",Dips,FLNA,NULL
Fresh,B01DIZTRPW,2840007103,"Tostitos Spinach Dip, 60 Ounce",Dips,FLNA,NULL
Fresh,B00BTJM2RU,2840014393,"Tostitos Dips, Toasted Garlic Salsa, 15.5 oz",Tostitos,FLNA,NULL
Fresh,B00CNZTAVU,2840011895,"Tostitos Cantina Tortilla Chips, Traditional, 12 oz",Tostitos,FLNA,NULL
